internal_id, planet_name                  , star_name                  , num_stars, num_planets, num_moons, is_circumbinary, discovery_method             , discovery_year, discovery_locale, discovery_facility                            , discovery_telescope                                        , discovery_instrument                      , orbital_period       , orbit_radius    , radius_earth, mass_earth   , planet_density, eccentricity, insolation_flux, planet_temp, has_transit_variations, spectral_type   , star_temp, star_radius, star_mass, star_metallicity, star_luminosity, star_gravity, star_age, ra_deg     , dec_deg    , distance_pc  , star_brightness
          1, 11 Com b                     , 11 Com                     ,         2,           1,         0,               0, Radial Velocity              ,           2007, Ground          , Xinglong Station                              , 2.16 m Telescope                                           , Coude Echelle Spectrograph                ,       323.21000000000,     1.1780000000,  12.20000000, 4914.89848585,      14.900000,     0.238000,                ,            ,                      0, G8 III          ,   4874.00,   13.760000,  2.090000, -0.2600         , 1.97823        ,     2.450000,         , 185.1787793, 17.7932516 ,   93.18460000,       4.4403800
          2, 11 UMi b                     , 11 UMi                     ,         1,           1,         0,               0, Radial Velocity              ,           2009, Ground          , Thueringer Landessternwarte Tautenburg        , 2.0 m Alfred Jensch Telescope                              , Coude Echelle Spectrograph                ,       516.21997000000,     1.5300000000,  12.30000000, 4684.81420000,      13.800000,     0.080000,                ,            ,                      0, K4 III          ,   4213.00,   29.790000,  2.780000, -0.0200         , 2.42951        ,     1.930000,   1.5600, 229.2745954, 71.8239428 ,  125.32100000,       4.5621600
          3, 14 And b                     , 14 And                     ,         1,           1,         0,               0, Radial Velocity              ,           2008, Ground          , Okayama Astrophysical Observatory             , 1.88 m Telescope                                           , HIDES Echelle Spectrograph                ,       186.76000000000,     0.7750000000,  13.10000000, 1131.15130051,       2.760000,     0.000000,                ,            ,                      0, K0 III          ,   4888.00,   11.550000,  1.780000, -0.2100         , 1.83992        ,     2.550000,   4.5000, 352.8241500, 39.2358367 ,   75.43920000,       4.9178100
          4, 14 Her b                     , 14 Her                     ,         1,           2,         0,               0, Radial Velocity              ,           2002, Ground          , W. M. Keck Observatory                        , 10 m Keck I Telescope                                      , HIRES Spectrometer                        ,      1766.41000000000,     2.8390000000,  12.50000000, 2828.67282230,       7.960000,     0.368300,                ,            ,                      0, K0              ,   5338.00,    0.930000,  0.970000, 0.4300          , -0.15273       ,     4.450000,   4.6000, 242.6021014, 43.8163621 ,   17.93230000,       6.3830000
          5, 16 Cyg B b                   , 16 Cyg B                   ,         3,           1,         0,               0, Radial Velocity              ,           1996, Ground          , Multiple Observatories                        , Multiple Telescopes                                        , Multiple Instruments                      ,       798.50000000000,     1.6600000000,  13.50000000,  565.73740000,       1.260000,     0.680000,                ,            ,                      0, G3 V            ,   5750.00,    1.130000,  1.080000, 0.0600          , 0.09729        ,     4.360000,   7.4000, 295.4656422, 50.5168243 ,   21.13970000,       6.0642800
          6, 17 Sco b                     , 17 Sco                     ,         1,           1,         0,               0, Radial Velocity              ,           2020, Ground          , Lick Observatory                              , Coude Auxiliary Telescope                                  , Hamilton Echelle Spectrograph             ,       578.38000000000,     1.4500000000,  12.90000000, 1373.01871824,       3.510000,     0.060000,                ,            ,                      0, K3 III          ,   4157.00,   25.920000,  1.220000, -0.0100         , 2.25435        ,     1.700000,   5.1300, 243.4620874, -11.8377905,  124.95300000,       4.7542900
          7, 18 Del b                     , 18 Del                     ,         2,           1,         0,               0, Radial Velocity              ,           2008, Ground          , Okayama Astrophysical Observatory             , 1.88 m Telescope                                           , HIDES Echelle Spectrograph                ,       982.85000000000,     2.4760000000,  12.50000000, 2926.24614325,       8.230000,     0.024000,                ,            ,                      0, G6 III          ,   4980.00,    8.800000,  2.100000, -0.0600         , 1.63367        ,     2.870000,   1.1000, 314.6078375, 10.8391378 ,   76.22200000,       5.2747600
          8, 1RXS J160929.1-210524 b      , 1RXS J160929.1-210524      ,         1,           1,         0,               0, Imaging                      ,           2008, Ground          , Gemini Observatory                            , 8.19 m Gemini North Telescope                              , NIRI Camera                               ,                      ,   330.0000000000,  18.64700000, 3000.00000000,       2.540000,             ,                ,     1700.00,                      0, K7 V            ,   4060.00,    1.313160,  0.850000,                 , -0.37000       ,     3.995920,   0.0050, 242.3762343, -21.0831403,  139.13500000,      12.0572000
          9, 24 Boo b                     , 24 Boo                     ,         1,           1,         0,               0, Radial Velocity              ,           2018, Ground          , Okayama Astrophysical Observatory             , 1.88 m Telescope                                           , HIDES Echelle Spectrograph                ,        30.33000000000,     0.1940000000,  13.90000000,  280.64248338,       0.574000,     0.032000,                ,            ,                      0, G3 IV           ,   4816.00,   12.190000,  1.050000, -0.7800         , 1.87691        ,     2.280000,   6.9200, 217.1555242, 49.8446488 ,   95.98630000,       5.3339000
         10, 24 Sex b                     , 24 Sex                     ,         1,           2,         0,               0, Radial Velocity              ,           2010, Ground          , Lick Observatory                              , 3.0 m C. Donald Shane Telescope                            , Hamilton Echelle Spectrograph             ,       452.80000000000,     1.3330000000,  13.40000000,  632.46000000,       1.440000,     0.090000,                ,            ,                      0, K0 IV           ,   5098.00,    4.900000,  1.540000, -0.0300         , 1.16400        ,     3.500000,   2.7000, 155.8684866, -0.9023998 ,   72.06910000,       6.2037400
         11, 24 Sex c                     , 24 Sex                     ,         1,           2,         0,               0, Radial Velocity              ,           2010, Ground          , Lick Observatory                              , 3.0 m C. Donald Shane Telescope                            , Hamilton Echelle Spectrograph             ,       883.00000000000,     2.0800000000,  13.90000000,  273.32000000,       0.559000,     0.290000,                ,            ,                      0, K0 IV           ,   5098.00,    4.900000,  1.540000, -0.0300         , 1.16400        ,     3.500000,   2.7000, 155.8684866, -0.9023998 ,   72.06910000,       6.2037400
         12, 2M0437 b                     , 2MASS J04372171+2651014    ,         1,           1,         0,               0, Imaging                      ,           2021, Ground          , Subaru Telescope                              , 8.2 m Subaru Telescope                                     , Infrared Camera and Spectrograph (IRCS)   ,                      ,   118.0000000000,  13.00000000, 1271.31362800,       3.180000,             ,                ,     1450.00,                      0, M V             ,   3100.00,    0.840000,  0.170000, 0.0100          , -1.16368       ,     4.500000,   0.0025,  69.3405531, 26.8502997 ,  128.48400000,      14.3374000
         13, 2MASS J01033563-5515561 AB b , 2MASS J01033563-5515561 A  ,         2,           1,         0,               1, Imaging                      ,           2013, Ground          , Paranal Observatory                           , 8.2 m ESO VLT UT4 Yepun Telescope                          , NACO Camera                               ,                      ,    84.0000000000,  12.30000000, 4131.79000000,      12.200000,             ,                ,            ,                      0, M5.5/M6         ,          ,            ,  0.190000,                 ,                ,             ,   0.0300,  15.8992489, -55.2658291,   47.20000000,        
         14, 2MASS J01225093-2439505 b    , 2MASS J01225093-2439505    ,         1,           1,         0,               0, Imaging                      ,           2013, Ground          , W. M. Keck Observatory                        , 10 m Keck II Telescope                                     , NIRC2 Camera                              ,                      ,    52.0000000000,  11.20900000, 7786.50000000,      30.400000,             ,                ,     1600.00,                      0, M3.5 V          ,   3530.00,    0.366450,  0.400000,                 , -1.72000       ,     4.858040,   0.1200,  20.7128012, -24.6646128,   33.82810000,      12.9025000
         15, 2MASS J02192210-3925225 b    , 2MASS J02192210-3925225    ,         1,           1,         0,               0, Imaging                      ,           2015, Ground          , Cerro Tololo Inter-American Observatory       , 1.5 m CTIO Telescope                                       , SIMON Near-Infrared Spectroimager         ,                      ,   156.0000000000,  16.14096000, 4417.83700000,       5.770000,             ,                ,            ,                      0, M6              ,   3064.00,    0.281000,  0.108000,                 , -2.23000       ,     4.590000,   0.0350,  34.8427046, -39.4230767,   40.08964117,      15.0123000
         16, 2MASS J0249-0557 c           , 2MASS J0249-0557 A         ,         2,           1,         0,               1, Imaging                      ,           2018, Ground          , Mauna Kea Observatory                         , 3.58 m Canada-France-Hawaii Telescope (CFHT)               , WIRCam                                    ,                      ,  1950.0000000000,  12.40000000, 3686.80952120,      10.600000,             ,                ,            ,                      0, M6 V            ,   2859.00,    0.315959,  0.046000,                 , -2.59000       ,     4.908490,   0.0220,  42.4851627, -5.9599921 ,   66.06130000,      15.6894000
         17, 2MASS J03590986+2009361 b    , 2MASS J03590986+2009361    ,         1,           1,         0,               0, Imaging                      ,           2024, Space           , European Space Agency (ESA) Gaia Satellite    , 1.45 m x 0.5 m Telescope                                   , Gaia CCD array                            ,                      ,   572.0000000000,  12.20000000, 5720.91132600,      17.300000,             ,                ,     2369.00,                      0,                 ,   2943.00,    0.289776,  0.264996,                 , -2.24602       ,     4.937180,         ,  59.7911026, 20.1599759 ,  117.43500000,      16.9967000
         18, 2MASS J04414489+2301513 b    , 2MASS J04414489+2301513    ,         1,           1,         0,               0, Imaging                      ,           2010, Space           , Hubble Space Telescope                        , 2.4 m Hubble Space Telescope                               , WFPC2 Camera                              ,                      ,    15.0000000000,  12.60000000, 2383.60000000,       6.550000,             ,                ,            ,                      0, M8.5            ,   2936.00,    0.231916,  0.019000,                 , -2.44363       ,     5.011810,   0.0010,  70.4371079, 23.0308544 ,  120.42398696,      18.9668000
         19, 2MASS J11011926-7732383 b    , 2MASS J11011926-7732383    ,         1,           1,         0,               0, Imaging                      ,           2024, Space           , European Space Agency (ESA) Gaia Satellite    , 1.45 m x 0.5 m Telescope                                   , Gaia CCD array                            ,                      ,   266.0000000000,  11.90000000, 8899.19539600,      29.000000,             ,                ,     2677.00,                      0,                 ,          ,            ,          ,                 ,                ,             ,         , 165.3295388, -77.5440912,              ,      18.3299000
